altitude,geometry,campusId,title,locTypeId,locType,version,bldgId,description,addr1,addr2,locationId,lon,lat
,Point,PAR,Stop 1 (Parkville),2,stop1,22005,,,,757 Swanston Street,656,144.963717,-37.800154
,Point,STH,Stop 1 (Southbank),2,stop1,14003,860,,,,657,144.970127,-37.824748
,Point,SPT,Student Administration,3,department,10184,696,,35-49 Graham Street,,394,145.406671,-36.361939
,Point,SPT,Rural Health Academic Centre,3,department,10181,696,Reception,35-49 Graham Street,,390,145.406671,-36.361939
,Point,DOO,Melbourne School of Land and Environment,3,department,10172,505,,,,378,145.705947,-36.383173
,Point,BUR,Department of Forests and Ecosystem Science,3,department,10148,903,,,,353,145.022532,-37.828551
,Point,PAR,Murrup Barak,3,department,10548,128,,University Of Melbourne,,384,144.960615,-37.797309
,Point,PAR,University Communications,3,department,10187,257,,187 Grattan Street,,398,144.962776,-37.800537
,Point,PAR,Student Support Services,3,department,10186,113,,University Of Melbourne,,396,144.961977,-37.796512
,Point,PAR,Student Health Service,3,department,10185,385,,138 Cardigan Steet,,395,144.965503,-37.801689
,Point,PAR,Student Administration,3,department,10183,152,,University Of Melbourne,,393,144.961603,-37.797436
,Point,PAR,Psychology Clinic,3,department,10180,236,,14-20 Blackwood Street,,389,144.955033,-37.801675
,Point,PAR,Peter McPhee Centre,3,department,10179,344,,272-278 Faraday Street,,388,144.964898,-37.798161
,Point,PAR,Optometry and Vision Sciences,3,department,10178,162,,University Of Melbourne,,386,144.963271,-37.798636
,Point,PAR,Office for Environmental Programs,3,department,10177,163,OEP,University Of Melbourne,,385,144.961788,-37.798526
,Point,PAR,Melbourne Institute of Applied Economic and Social Research,3,department,10175,104,MIAESR,161 Barry Street,,381,144.959135,-37.800203
,Point,PAR,Melbourne Students and Learning,3,department,10174,152,,University Of Melbourne,,380,144.961603,-37.797436
,Point,PAR,Microbiological Diagnostic Unit,3,department,10171,184,MDU,University Of Melbourne,,374,144.958417,-37.798666
,Point,PAR,Marketing Office,3,department,10170,220,,"780, Elizabeth Street",,373,144.957997,-37.800419
,Point,PAR,University Eyecare Clinic,3,department,10169,244,,Optometry & Vision Scienc,,368,144.964691,-37.797811
,Point,PAR,Melbourne Medical School,3,department,10168,181,MMS,University Of Melbourne,,382,144.958905,-37.799241
,Point,PAR,Melbourne Scholarships,3,department,10167,113,,University Of Melbourne,,377,144.961977,-37.796512
,Point,PAR,Melbourne Institute,3,department,10166,105,,95-129 Barry Street,,376,144.959228,-37.801548
,Point,PAR,LH Martin Institute,3,department,10165,243,,715 Swanston Street,,372,144.963422,-37.801146
